StatisticsDate,negativeTests,confirmedCases,testsPerDay,cumulativeNegative,cumulativePositive,testsPerformed,positiveTestsPerc,positiveTestsPercCum,lastFeature
2020-02-05,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,
2020-02-06,1.0,0.0,1.0,2.0,0.0,2.0,0.0,0.0,
2020-02-07,0.0,0.0,0.0,2.0,0.0,2.0,,0.0,
2020-02-08,0.0,0.0,0.0,2.0,0.0,2.0,,0.0,
2020-02-09,0.0,0.0,0.0,2.0,0.0,2.0,,0.0,
2020-02-10,0.0,0.0,0.0,2.0,0.0,2.0,,0.0,
2020-02-11,0.0,0.0,0.0,2.0,0.0,2.0,,0.0,
2020-02-12,1.0,0.0,1.0,3.0,0.0,3.0,0.0,0.0,
2020-02-13,0.0,0.0,0.0,3.0,0.0,3.0,,0.0,
2020-02-14,0.0,0.0,0.0,3.0,0.0,3.0,,0.0,
2020-02-15,0.0,0.0,0.0,3.0,0.0,3.0,,0.0,
2020-02-16,0.0,0.0,0.0,3.0,0.0,3.0,,0.0,
2020-02-17,0.0,0.0,0.0,3.0,0.0,3.0,,0.0,
2020-02-18,0.0,0.0,0.0,3.0,0.0,3.0,,0.0,
2020-02-19,0.0,0.0,0.0,3.0,0.0,3.0,,0.0,
2020-02-20,0.0,0.0,0.0,3.0,0.0,3.0,,0.0,
2020-02-21,1.0,0.0,1.0,4.0,0.0,4.0,0.0,0.0,
2020-02-22,0.0,0.0,0.0,4.0,0.0,4.0,,0.0,
2020-02-23,0.0,0.0,0.0,4.0,0.0,4.0,,0.0,
2020-02-24,0.0,0.0,0.0,4.0,0.0,4.0,,0.0,
2020-02-25,1.0,0.0,1.0,5.0,0.0,5.0,0.0,0.0,
2020-02-26,7.0,1.0,8.0,12.0,1.0,13.0,0.125,0.0769,
2020-02-27,10.0,0.0,10.0,22.0,1.0,23.0,0.0,0.0435,
2020-02-28,13.0,0.0,13.0,35.0,1.0,36.0,0.0,0.0278,
2020-02-29,8.0,0.0,8.0,43.0,1.0,44.0,0.0,0.0227,
2020-03-01,18.0,0.0,18.0,61.0,1.0,62.0,0.0,0.0161,
2020-03-02,21.0,1.0,22.0,82.0,2.0,84.0,0.0455,0.0238,
2020-03-03,29.0,0.0,29.0,111.0,2.0,113.0,0.0,0.0177,
2020-03-04,35.0,1.0,36.0,146.0,3.0,149.0,0.0278,0.0201,
2020-03-05,28.0,7.0,35.0,174.0,10.0,184.0,0.2,0.0543,
2020-03-06,71.0,0.0,71.0,245.0,10.0,255.0,0.0,0.0392,
2020-03-07,29.0,0.0,29.0,274.0,10.0,284.0,0.0,0.0352,
2020-03-08,20.0,0.0,20.0,294.0,10.0,304.0,0.0,0.0329,
2020-03-09,61.0,3.0,64.0,355.0,13.0,368.0,0.0469,0.0353,
2020-03-10,55.0,2.0,57.0,410.0,15.0,425.0,0.0351,0.0353,
2020-03-11,62.0,3.0,65.0,472.0,18.0,490.0,0.0462,0.0367,
2020-03-12,91.0,40.0,131.0,563.0,58.0,621.0,0.3053,0.0934,
2020-03-13,139.0,44.0,183.0,702.0,102.0,804.0,0.2404,0.1269,
2020-03-14,140.0,23.0,163.0,842.0,125.0,967.0,0.1411,0.1293,
2020-03-15,420.0,75.0,495.0,1262.0,200.0,1462.0,0.1515,0.1368,
2020-03-16,280.0,25.0,305.0,1542.0,225.0,1767.0,0.082,0.1273,
2020-03-17,169.0,22.0,191.0,1711.0,247.0,1958.0,0.1152,0.1261,
2020-03-18,511.0,28.0,539.0,2222.0,275.0,2497.0,0.0519,0.1101,
2020-03-19,323.0,28.0,351.0,2545.0,303.0,2848.0,0.0798,0.1064,
2020-03-20,380.0,12.0,392.0,2925.0,315.0,3240.0,0.0306,0.0972,
2020-03-21,596.0,41.0,637.0,3521.0,356.0,3877.0,0.0644,0.0918,
2020-03-22,147.0,13.0,160.0,3668.0,369.0,4037.0,0.0812,0.0914,
2020-03-23,471.0,24.0,495.0,4139.0,393.0,4532.0,0.0485,0.0867,
2020-03-24,1328.0,75.0,1403.0,5467.0,468.0,5935.0,0.0535,0.0789,
2020-03-25,992.0,55.0,1047.0,6459.0,523.0,6982.0,0.0525,0.0749,
2020-03-26,1103.0,36.0,1139.0,7562.0,559.0,8121.0,0.0316,0.0688,
2020-03-27,1188.0,65.0,1253.0,8750.0,624.0,9374.0,0.0519,0.0666,
2020-03-28,996.0,39.0,1035.0,9746.0,663.0,10409.0,0.0377,0.0637,
2020-03-29,820.0,31.0,851.0,10566.0,694.0,11260.0,0.0364,0.0616,
2020-03-30,1119.0,34.0,1153.0,11685.0,728.0,12413.0,0.0295,0.0586,
2020-03-31,1919.0,58.0,1977.0,13604.0,786.0,14390.0,0.0293,0.0546,
2020-04-01,1294.0,78.0,1372.0,14898.0,864.0,15762.0,0.0569,0.0548,
2020-04-02,2413.0,93.0,2506.0,17311.0,957.0,18268.0,0.0371,0.0524,
2020-04-03,1458.0,74.0,1532.0,18769.0,1031.0,19800.0,0.0483,0.0521,
2020-04-04,1124.0,62.0,1186.0,19893.0,1093.0,20986.0,0.0523,0.0521,
2020-04-05,848.0,11.0,859.0,20741.0,1104.0,21845.0,0.0128,0.0505,
2020-04-06,1637.0,42.0,1679.0,22378.0,1146.0,23524.0,0.025,0.0487,
2020-04-07,1237.0,36.0,1273.0,23615.0,1182.0,24797.0,0.0283,0.0477,
2020-04-08,1582.0,23.0,1605.0,25197.0,1205.0,26402.0,0.0143,0.0456,
2020-04-09,1415.0,51.0,1466.0,26612.0,1256.0,27868.0,0.0348,0.0451,
2020-04-10,1525.0,45.0,1570.0,28137.0,1301.0,29438.0,0.0287,0.0442,
2020-04-11,890.0,5.0,895.0,29027.0,1306.0,30333.0,0.0056,0.0431,
2020-04-12,390.0,19.0,409.0,29417.0,1325.0,30742.0,0.0465,0.0431,
2020-04-13,1464.0,44.0,1508.0,30881.0,1369.0,32250.0,0.0292,0.0424,
2020-04-14,1677.0,29.0,1706.0,32558.0,1398.0,33956.0,0.017,0.0412,
2020-04-15,2017.0,34.0,2051.0,34575.0,1432.0,36007.0,0.0166,0.0398,
2020-04-16,1547.0,25.0,1572.0,36122.0,1457.0,37579.0,0.0159,0.0388,
2020-04-17,1964.0,53.0,2017.0,38086.0,1510.0,39596.0,0.0263,0.0381,
2020-04-18,706.0,16.0,722.0,38792.0,1526.0,40318.0,0.0222,0.0378,
2020-04-19,592.0,7.0,599.0,39384.0,1533.0,40917.0,0.0117,0.0375,
2020-04-20,1270.0,17.0,1287.0,40654.0,1550.0,42204.0,0.0132,0.0367,
2020-04-21,1413.0,7.0,1420.0,42067.0,1557.0,43624.0,0.0049,0.0357,
2020-04-22,1513.0,32.0,1545.0,43580.0,1589.0,45169.0,0.0207,0.0352,
2020-04-23,1087.0,16.0,1103.0,44667.0,1605.0,46272.0,0.0145,0.0347,
2020-04-24,1023.0,29.0,1052.0,45690.0,1634.0,47324.0,0.0276,0.0345,
2020-04-25,594.0,9.0,603.0,46284.0,1643.0,47927.0,0.0149,0.0343,
2020-04-26,466.0,4.0,470.0,46750.0,1647.0,48397.0,0.0085,0.034,
2020-04-27,1101.0,10.0,1111.0,47851.0,1657.0,49508.0,0.009,0.0335,
2020-04-28,1668.0,9.0,1677.0,49519.0,1666.0,51185.0,0.0054,0.0325,1.0
